road_id,road_name,road_type,city,country,district,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,has_sidewalk,has_median,has_speed_camera,has_pedestrian_crossing,has_toll,toll_rate_local_currency,currency,has_congestion_charge,congestion_charge_amount,surface_condition,lighting_type,traffic_signal_type,road_classification,latitude_start,longitude_start,latitude_end,longitude_end,avg_daily_traffic,peak_hour_traffic,year_built,last_maintenance_date,next_scheduled_maintenance,last_resurfacing_date,has_variable_message_sign,has_intelligent_transport_system,has_emergency_callbox,connected_sensors_count,noise_level_db,annual_co2_emission_tons
RD-DUB-0312,Palm Jumeirah Street,Toll Road,Dubai,UAE,Palm Jumeirah,56.1,4,80,8470,0,0,0,0,0,1,1,15.0,AED,0,0.0,Excellent,LED,Actuated,Municipal,25.241037,55.205202,25.22924,55.186221,10813,1373,2017,2023-12-04,2024-05-30,2022-11-30,1,1,1,0,79.1,307.4
RD-DUB-0313,Dubai-Al Ain Road,Arterial Road,Dubai,UAE,Dubai Marina,7.5,4,80,6465,1,0,0,0,0,1,0,0.0,AED,0,0.0,Good,Halogen,Adaptive SCOOT,Private,25.265388,55.316729,25.27676,55.34414,7571,607,1973,2022-04-21,2024-12-24,2021-05-24,0,0,0,0,75.0,432.6
RD-DUB-0314,Al Khail Road,Boulevard,Dubai,UAE,Al Quoz,3.4,4,60,5994,0,0,1,1,0,0,0,0.0,AED,0,0.0,Good,LED,Fixed Timer,National,25.272291,55.203262,25.269655,55.180511,4484,655,2005,2022-05-21,2025-01-30,2023-10-10,0,1,0,2,62.7,6.5
RD-DUB-0315,Sheikh Zayed Road,Highway/Expressway,Dubai,UAE,Bur Dubai,24.0,10,120,19863,1,0,1,1,1,0,0,0.0,AED,0,0.0,Good,None,Actuated,National,25.15745,55.263261,25.18011,55.271549,33410,3513,1990,2023-11-29,2024-12-01,2022-08-20,1,0,1,0,82.1,488.0
RD-DUB-0316,Dubai Marina Boulevard,Collector Road,Dubai,UAE,Dubai Marina,5.9,2,40,2553,0,1,1,0,1,1,0,0.0,AED,0,0.0,Good,LED,Actuated,National,25.16795,55.32014,25.188256,55.330756,4103,502,1982,2023-06-05,2025-03-26,2021-03-03,0,0,0,0,56.9,17.7
RD-DUB-0317,Dubai-Al Ain Road,Highway/Expressway,Dubai,UAE,Business Bay,42.1,8,130,16136,1,0,1,0,0,1,0,0.0,AED,0,0.0,Good,Sodium Vapor,None,State/Provincial,25.172822,55.225372,25.201506,55.216333,18390,1759,2016,2021-12-11,2025-02-13,2023-03-13,1,0,1,0,56.3,119.6
RD-DUB-0318,Al Khail Road,Arterial Road,Dubai,UAE,Downtown Dubai,9.9,4,70,6301,0,0,1,1,1,1,0,0.0,AED,0,0.0,Good,Sodium Vapor,Adaptive SCOOT,Private,25.190931,55.232836,25.180949,55.23252,9646,816,2019,2022-01-11,2024-08-21,2023-04-29,0,0,0,0,77.6,125.9
RD-DUB-0319,Business Bay Boulevard,Toll Road,Dubai,UAE,Business Bay,28.7,8,80,16800,0,0,0,1,1,0,1,15.0,AED,0,0.0,Fair,LED,Adaptive SCOOT,Federal,25.236634,55.277169,25.263907,55.302336,27232,3721,1959,2022-10-18,2024-11-26,2021-10-31,1,1,1,3,80.2,147.3
RD-DUB-0320,Sheikh Zayed Road,Boulevard,Dubai,UAE,DIFC,6.7,4,50,5823,1,0,0,1,0,1,0,0.0,AED,0,0.0,Excellent,None,None,Municipal,25.212245,55.216423,25.240356,55.228507,8914,955,1998,2023-10-23,2025-03-01,2024-01-08,0,0,1,0,73.3,287.1
RD-DUB-0321,Dubai-Al Ain Road,Local Street,Dubai,UAE,Business Bay,2.4,1,30,638,0,1,1,0,1,1,0,0.0,AED,0,0.0,Fair,None,Fixed Timer,State/Provincial,25.234617,55.317464,25.242366,55.323607,702,104,2016,2023-03-16,2025-03-17,2022-01-03,0,1,0,5,79.1,3.8
RD-DUB-0322,Dubai Marina Street,Ring Road,Dubai,UAE,Dubai Marina,26.3,6,120,12084,0,0,1,1,0,1,1,8.0,AED,0,0.0,Under Repair,Halogen,None,Federal,25.218422,55.223274,25.241886,55.248616,15659,2085,1988,2023-02-13,2024-06-22,2020-11-14,1,0,1,0,70.4,214.1
RD-DUB-0323,Al Khail Road,Highway/Expressway,Dubai,UAE,Al Quoz,17.5,10,140,20076,1,0,0,0,1,0,1,3.0,AED,0,0.0,Fair,Halogen,Adaptive SCOOT,Municipal,25.195046,55.298658,25.173191,55.327004,34774,3574,1991,2023-05-24,2025-01-29,2021-03-02,1,0,1,0,63.6,446.1
RD-DUB-0324,Dubai Marina Street,Collector Road,Dubai,UAE,Dubai Marina,1.4,4,60,4738,0,1,1,0,1,1,0,0.0,AED,0,0.0,Good,Halogen,Actuated,National,25.237744,55.318416,25.247776,55.301512,6491,925,2020,2023-10-10,2025-03-03,2022-06-15,0,1,0,5,67.0,249.8
RD-DUB-0325,Al Khail Road,Ring Road,Dubai,UAE,DIFC,26.5,6,100,11943,0,0,1,1,1,0,0,0.0,AED,0,0.0,Excellent,None,Fixed Timer,Federal,25.206095,55.209276,25.198148,55.236654,14842,2146,1972,2023-10-30,2024-11-17,2023-10-03,1,1,1,2,70.2,404.3
RD-DUB-0326,Palm Jumeirah Street,Arterial Road,Dubai,UAE,Palm Jumeirah,13.6,6,80,9616,0,0,0,1,1,1,0,0.0,AED,0,0.0,Fair,Halogen,Fixed Timer,National,25.277827,55.294243,25.264992,55.289782,13930,1115,1979,2023-08-18,2025-03-08,2021-03-10,0,0,0,0,62.1,305.8
RD-DUB-0327,Deira Street,Arterial Road,Dubai,UAE,Deira,14.7,4,70,6351,0,0,1,1,0,1,0,0.0,AED,0,0.0,Good,Sodium Vapor,Semi-Actuated,Federal,25.229087,55.341243,25.213656,55.31915,9848,1333,1982,2022-07-16,2024-08-29,2022-12-23,1,1,0,1,70.8,202.7
RD-DUB-0328,Emirates Road,Highway/Expressway,Dubai,UAE,DIFC,20.8,6,80,11845,0,0,1,0,0,0,1,3.0,AED,0,0.0,Fair,Solar LED,Adaptive SCOOT,State/Provincial,25.255984,55.282066,25.253938,55.311843,13764,1959,1988,2023-09-08,2024-12-24,2021-09-19,1,0,1,0,76.4,392.8
RD-DUB-0329,DIFC Street,Toll Road,Dubai,UAE,DIFC,31.2,6,80,12521,0,0,1,0,0,1,1,10.0,AED,0,0.0,Excellent,Halogen,Fixed Timer,National,25.214599,55.341824,25.188819,55.313421,12151,1365,1959,2023-10-20,2024-12-04,2023-04-11,1,0,1,0,60.4,380.2
RD-DUB-0330,Downtown Dubai Street,Local Street,Dubai,UAE,Downtown Dubai,2.6,2,50,1254,0,1,1,0,0,1,0,0.0,AED,0,0.0,Fair,Halogen,Fixed Timer,Private,25.205103,55.323518,25.185733,55.332967,1012,107,2005,2023-12-09,2025-03-16,2023-12-22,0,1,1,2,76.2,44.2
RD-DUB-0331,Dubai-Al Ain Road,Ring Road,Dubai,UAE,Jumeirah,55.7,4,120,7961,0,0,0,1,1,1,1,12.0,AED,0,0.0,Excellent,LED,Actuated,Federal,25.215049,55.260152,25.192334,55.260419,7059,939,1978,2021-11-24,2024-05-15,2021-12-11,1,1,1,0,61.2,486.4
RD-DUB-0332,Sheikh Zayed Road,Ring Road,Dubai,UAE,Jumeirah,77.7,8,80,15917,0,0,0,0,1,0,0,0.0,AED,0,0.0,Poor,Solar LED,Semi-Actuated,Private,25.198353,55.225901,25.199088,55.215491,15176,1215,1991,2022-08-27,2024-05-23,2021-12-11,1,0,1,0,81.4,335.2
RD-DUB-0333,Dubai-Al Ain Road,Highway/Expressway,Dubai,UAE,Al Barsha,32.9,8,140,15931,1,0,0,1,0,1,0,0.0,AED,0,0.0,Good,LED,Adaptive SCOOT,Private,25.230919,55.299228,25.205273,55.270423,33293,2960,1992,2023-08-26,2024-05-12,2021-08-20,1,0,1,0,57.2,29.3
RD-DUB-0334,Sheikh Zayed Road,Collector Road,Dubai,UAE,Deira,4.6,4,50,4842,0,0,1,0,0,1,0,0.0,AED,0,0.0,Excellent,Sodium Vapor,Semi-Actuated,Private,25.283582,55.302941,25.304077,55.293017,5235,773,1982,2024-03-13,2024-08-03,2023-01-01,1,1,0,8,67.8,242.4
RD-DUB-0335,Downtown Dubai Boulevard,Local Street,Dubai,UAE,Downtown Dubai,2.4,1,20,692,0,1,1,0,0,1,0,0.0,AED,0,0.0,Excellent,Solar LED,Adaptive SCOOT,National,25.145961,55.255422,25.171931,55.26942,825,96,1955,2023-03-14,2024-09-08,2020-04-13,0,1,0,0,63.9,6.7
RD-DUB-0336,Business Bay Street,Boulevard,Dubai,UAE,Business Bay,4.6,8,50,12064,1,1,1,1,1,1,0,0.0,AED,0,0.0,Poor,LED,None,State/Provincial,25.127788,55.206813,25.146006,55.236061,13045,1786,1964,2022-11-16,2024-05-28,2020-12-26,0,0,0,0,56.9,474.4
RD-DUB-0337,Dubai-Al Ain Road,Boulevard,Dubai,UAE,Jumeirah,3.1,4,50,6066,0,0,1,1,0,1,0,0.0,AED,0,0.0,Poor,Solar LED,Fixed Timer,Private,25.208217,55.342,25.219255,55.358066,6796,679,1987,2023-11-09,2024-05-29,2021-08-02,1,0,0,0,55.9,100.5
RD-SEO-0338,Seocho Daero,Boulevard,Seoul,South Korea,Seocho,4.0,4,50,6032,0,0,1,1,0,1,0,0.0,KRW,0,0.0,Good,Solar LED,Adaptive SCOOT,Municipal,37.502951,126.93587,37.522828,126.921434,7254,997,2008,2023-01-03,2024-07-08,2023-03-21,0,1,0,8,62.6,235.3
RD-SEO-0339,Jongno Daero,Boulevard,Seoul,South Korea,Jongno,7.8,4,50,5884,1,0,1,1,0,0,0,0.0,KRW,0,0.0,Excellent,Halogen,Semi-Actuated,State/Provincial,37.637016,126.981873,37.645965,126.973025,7113,742,1982,2023-03-09,2024-10-10,2022-01-03,0,1,0,8,78.0,414.7
RD-SEO-0340,Gangbyeon Expressway,Local Street,Seoul,South Korea,Hongdae,1.9,2,50,1528,0,1,1,0,1,1,0,0.0,KRW,0,0.0,Good,Halogen,None,National,37.63246,126.918845,37.603327,126.891795,1774,205,2014,2023-11-20,2024-06-07,2021-03-14,1,0,0,0,58.0,24.7
RD-SEO-0341,Seocho Ro,Toll Road,Seoul,South Korea,Seocho,30.9,6,100,12455,0,0,0,0,1,1,1,10.0,KRW,0,0.0,Good,Solar LED,Actuated,National,37.499581,126.932661,37.501697,126.957639,12514,1592,1984,2023-11-22,2024-06-05,2022-08-21,1,0,1,0,62.2,497.7
RD-SEO-0342,Nambu Expressway,Ring Road,Seoul,South Korea,Jongno,21.1,6,80,12061,0,0,1,1,0,0,1,12.0,KRW,0,0.0,Under Repair,Halogen,Actuated,National,37.626542,126.955856,37.621944,126.963323,10846,1552,2018,2023-01-25,2024-12-13,2022-11-13,1,1,1,0,55.6,413.3
RD-SEO-0343,Hongdae Ro,Arterial Road,Seoul,South Korea,Hongdae,5.9,6,80,9543,0,0,0,0,1,1,0,0.0,KRW,0,0.0,Fair,Solar LED,Adaptive SCOOT,State/Provincial,37.504088,126.991737,37.513765,126.990361,16208,2176,2002,2022-09-08,2024-07-16,2023-05-30,1,0,0,0,80.0,202.2
RD-SEO-0344,Mapo Daero,Ring Road,Seoul,South Korea,Mapo,64.3,6,120,11823,0,0,0,1,0,1,0,0.0,KRW,0,0.0,Good,LED,None,Private,37.597327,126.931893,37.586446,126.95268,8379,1155,1979,2022-07-23,2024-11-22,2022-03-16,1,1,1,6,61.6,317.1
RD-SEO-0345,Route 544,Toll Road,Seoul,South Korea,Songpa,55.6,8,100,16891,0,0,1,0,0,1,1,15.0,KRW,0,0.0,Fair,None,Fixed Timer,National,37.567678,126.923588,37.5792,126.950712,16332,1833,2017,2022-02-25,2024-10-08,2021-08-14,1,0,1,0,66.1,292.0
RD-SEO-0346,Gangbyeon Expressway,Local Street,Seoul,South Korea,Mapo,3.0,1,30,538,0,1,1,0,0,1,0,0.0,KRW,0,0.0,Good,Halogen,None,Private,37.590237,126.909819,37.612071,126.8986,570,60,2011,2022-11-29,2024-12-06,2023-12-24,1,0,0,0,78.7,7.6
RD-SEO-0347,Nambu Expressway,Collector Road,Seoul,South Korea,Seocho,1.2,4,40,4822,0,0,1,1,0,1,0,0.0,KRW,0,0.0,Fair,Solar LED,Fixed Timer,Private,37.527567,126.96301,37.552918,126.98422,4933,479,1989,2022-11-19,2025-01-07,2023-07-30,1,0,0,0,63.0,40.1
RD-SEO-0348,Route 394,Local Street,Seoul,South Korea,Yongsan,1.3,1,30,795,0,1,1,0,1,1,0,0.0,KRW,0,0.0,Fair,Solar LED,Semi-Actuated,Federal,37.5376,126.990816,37.565756,126.968028,835,85,1986,2021-11-30,2024-10-26,2021-02-05,0,0,0,0,68.8,13.9
RD-SEO-0349,Route 570,Ring Road,Seoul,South Korea,Myeongdong,40.1,4,120,8200,0,0,1,1,1,1,1,5.0,KRW,0,0.0,Excellent,Halogen,Actuated,Private,37.619753,126.99198,37.64901,126.972055,7904,853,2009,2023-06-14,2024-08-19,2023-07-03,1,1,1,6,82.8,484.7
RD-SEO-0350,Route 722,Collector Road,Seoul,South Korea,Yongsan,4.8,2,60,2243,0,1,0,0,1,1,0,0.0,KRW,0,0.0,Good,None,None,State/Provincial,37.541572,126.907374,37.529811,126.923037,2420,272,1963,2022-04-17,2024-09-28,2020-05-04,0,1,0,3,73.9,13.8
RD-SEO-0351,Gangnam Daero,Collector Road,Seoul,South Korea,Gangnam,4.2,4,60,4745,0,1,1,1,1,1,0,0.0,KRW,0,0.0,Fair,Sodium Vapor,None,State/Provincial,37.520555,126.916785,37.492999,126.931885,4591,671,2005,2023-09-23,2025-02-15,2020-08-04,0,0,0,0,70.9,16.7
RD-SEO-0352,Gangbyeon Expressway,Boulevard,Seoul,South Korea,Seocho,6.6,8,40,11961,0,1,1,1,0,1,0,0.0,KRW,0,0.0,Excellent,Halogen,Semi-Actuated,Private,37.643429,126.940962,37.666855,126.959809,22482,2097,2008,2023-12-01,2024-09-09,2021-12-03,0,0,0,0,62.1,232.2
RD-SEO-0353,Itaewon Daero,Toll Road,Seoul,South Korea,Itaewon,33.4,4,120,8468,0,0,1,1,0,0,1,20.0,KRW,0,0.0,Excellent,LED,None,State/Provincial,37.509901,126.972751,37.518158,126.970481,19554,1955,1953,2022-05-14,2024-06-25,2024-02-12,1,1,1,1,83.2,156.2
RD-SEO-0354,Songpa Ro,Toll Road,Seoul,South Korea,Songpa,56.8,6,100,12587,0,0,1,0,0,1,1,8.0,KRW,0,0.0,Fair,None,Adaptive SCOOT,Federal,37.518292,126.948581,37.489614,126.944736,22976,1941,1988,2023-11-04,2024-05-13,2023-09-19,1,0,1,0,76.3,86.7
RD-SEO-0355,Seocho Ro,Arterial Road,Seoul,South Korea,Seocho,9.8,6,70,9449,1,0,0,1,1,0,0,0.0,KRW,0,0.0,Excellent,Sodium Vapor,Semi-Actuated,Private,37.604989,126.899367,37.621888,126.923914,4857,579,2005,2023-11-26,2024-11-25,2020-04-27,0,0,1,0,80.8,40.4
RD-SEO-0356,Nambu Expressway,Ring Road,Seoul,South Korea,Songpa,71.4,8,120,15901,0,0,1,1,0,0,0,0.0,KRW,0,0.0,Excellent,None,Actuated,National,37.618138,127.009131,37.614558,126.982849,12058,1734,1972,2024-02-29,2025-03-16,2022-11-13,1,1,1,8,79.7,361.2
RD-SEO-0357,Seocho Daero,Ring Road,Seoul,South Korea,Seocho,37.5,6,100,11958,0,0,1,1,1,0,1,2.0,KRW,0,0.0,Fair,Sodium Vapor,Fixed Timer,National,37.567711,127.021229,37.587386,127.029342,10929,1278,2014,2022-12-17,2025-03-19,2023-04-17,1,1,1,0,56.3,346.2
RD-SEO-0358,Route 93,Arterial Road,Seoul,South Korea,Jongno,10.9,6,70,9707,1,0,1,1,0,0,0,0.0,KRW,0,0.0,Good,Sodium Vapor,Adaptive SCOOT,National,37.498042,127.0531,37.476157,127.029978,7952,1107,2012,2021-11-19,2025-03-19,2023-08-04,1,1,1,5,74.5,381.9
RD-SEO-0359,Olympic Daero,Ring Road,Seoul,South Korea,Dongdaemun,20.0,6,120,11896,0,0,0,0,0,0,1,2.0,KRW,0,0.0,Excellent,Solar LED,Semi-Actuated,Federal,37.572017,126.969149,37.580534,126.96214,27059,3403,1951,2022-05-03,2025-03-19,2020-10-21,1,0,1,0,75.5,222.6
RD-SEO-0360,Olympic Daero,Boulevard,Seoul,South Korea,Jongno,6.4,8,40,11993,0,0,1,1,0,0,0,0.0,KRW,0,0.0,Excellent,Sodium Vapor,Adaptive SCOOT,Private,37.556096,127.017273,37.543904,127.039056,18394,2491,1960,2023-04-06,2025-03-05,2023-08-19,0,0,1,0,67.9,337.1
RD-SEO-0361,Route 436,Ring Road,Seoul,South Korea,Itaewon,34.6,8,120,15828,0,0,1,0,0,1,1,3.0,KRW,0,0.0,Poor,Sodium Vapor,Fixed Timer,Private,37.504335,126.997152,37.5298,127.009418,11042,1581,1965,2021-12-27,2025-01-22,2021-10-07,1,0,1,0,56.6,64.4
RD-SEO-0362,Gangbyeon Expressway,Highway/Expressway,Seoul,South Korea,Hongdae,46.8,6,120,12027,0,0,1,0,0,1,1,5.0,KRW,0,0.0,Excellent,Halogen,Semi-Actuated,Federal,37.573856,126.994743,37.575671,126.998876,20680,3009,2017,2021-10-17,2024-08-19,2023-06-21,1,1,1,4,60.5,198.5
RD-SEO-0363,Gangbyeon Expressway,Ring Road,Seoul,South Korea,Yongsan,44.5,4,80,8178,0,0,1,0,0,1,0,0.0,KRW,0,0.0,Good,Halogen,None,Private,37.586321,127.045883,37.608325,127.06461,12970,1513,1957,2022-04-30,2024-09-06,2022-05-30,1,0,1,0,69.2,189.0
RD-SEO-0364,Mapo Ro,Boulevard,Seoul,South Korea,Mapo,4.6,4,60,6013,0,1,1,1,0,0,0,0.0,KRW,0,0.0,Good,Solar LED,None,Private,37.544378,127.053117,37.548579,127.059358,6934,855,1993,2024-03-08,2024-04-21,2022-03-11,1,1,0,3,70.7,401.5
RD-SEO-0365,Nambu Expressway,Highway/Expressway,Seoul,South Korea,Dongdaemun,29.8,6,80,12073,0,0,1,1,1,1,0,0.0,KRW,0,0.0,Good,Halogen,Semi-Actuated,National,37.615078,127.026374,37.592889,127.013669,22031,2279,1959,2022-03-22,2024-06-26,2020-09-25,1,0,1,0,55.3,176.5
RD-SEO-0366,Route 421,Highway/Expressway,Seoul,South Korea,Yongsan,11.2,4,100,8086,1,0,1,1,1,1,1,3.0,KRW,0,0.0,Excellent,Sodium Vapor,Fixed Timer,Private,37.491166,126.999185,37.501587,126.984842,9302,1313,1975,2024-02-12,2024-05-02,2022-11-09,1,1,1,6,81.6,446.7
RD-SEO-0367,Olympic Daero,Ring Road,Seoul,South Korea,Gangnam,75.9,8,100,16059,0,0,1,1,1,1,1,12.0,KRW,0,0.0,Fair,None,None,Private,37.60756,126.999267,37.625594,127.027272,13089,1775,2007,2023-07-08,2025-02-06,2021-11-04,1,0,1,0,71.5,387.5
RD-SEO-0368,Hongdae Daero,Ring Road,Seoul,South Korea,Hongdae,49.4,4,120,7816,0,0,0,1,1,1,1,8.0,KRW,0,0.0,Excellent,Sodium Vapor,Fixed Timer,Municipal,37.587367,126.952794,37.570772,126.960976,8330,1208,1980,2022-05-01,2024-04-29,2023-08-22,1,1,1,3,66.3,417.7
RD-SEO-0369,Route 209,Local Street,Seoul,South Korea,Seocho,0.4,2,30,1248,0,0,1,0,0,1,0,0.0,KRW,0,0.0,Fair,LED,Actuated,National,37.565923,127.025968,37.584566,127.029459,944,91,1968,2022-03-23,2025-03-02,2022-10-19,1,1,0,7,82.8,41.6
RD-SEO-0370,Gangbyeon Expressway,Ring Road,Seoul,South Korea,Mapo,60.4,8,80,16086,0,0,1,1,1,0,0,0.0,KRW,0,0.0,Under Repair,None,Semi-Actuated,Private,37.630527,126.943278,37.653537,126.949183,15769,2172,2004,2022-08-27,2024-07-17,2023-02-22,1,1,1,0,61.4,64.3
RD-SEO-0371,Route 188,Collector Road,Seoul,South Korea,Gangnam,3.0,2,60,2452,0,1,1,0,1,1,0,0.0,KRW,0,0.0,Excellent,LED,Fixed Timer,State/Provincial,37.636795,126.919684,37.613084,126.948774,4253,528,1995,2023-12-12,2024-07-21,2024-01-18,1,1,0,6,72.4,43.8
RD-SEO-0372,Route 461,Arterial Road,Seoul,South Korea,Myeongdong,3.5,4,50,6280,1,0,1,1,1,0,0,0.0,KRW,0,0.0,Fair,None,Actuated,Municipal,37.638768,126.992547,37.635508,126.967638,4740,655,1965,2022-04-24,2025-02-01,2021-06-03,1,0,0,0,74.6,6.9
RD-SEO-0373,Nambu Expressway,Collector Road,Seoul,South Korea,Gangnam,1.7,2,50,2397,0,1,1,0,1,1,0,0.0,KRW,0,0.0,Excellent,Solar LED,Adaptive SCOOT,Private,37.622228,126.941945,37.630803,126.952114,1504,141,1976,2022-03-22,2024-08-07,2023-05-25,0,0,0,0,73.0,13.0
RD-SEO-0374,Dongdaemun Ro,Local Street,Seoul,South Korea,Dongdaemun,1.8,1,50,610,0,0,1,0,0,1,0,0.0,KRW,0,0.0,Good,None,Adaptive SCOOT,Federal,37.563191,126.968838,37.555752,126.982696,666,79,2007,2023-05-29,2025-02-15,2021-02-01,0,1,0,6,84.2,31.8
RD-SEO-0375,Itaewon Daero,Collector Road,Seoul,South Korea,Itaewon,4.6,2,40,2487,0,0,1,0,1,1,0,0.0,KRW,0,0.0,Excellent,Sodium Vapor,Actuated,Municipal,37.580758,126.985864,37.571616,127.00383,3984,352,2001,2023-07-02,2024-09-22,2020-04-06,0,1,0,7,76.0,19.5
RD-SEO-0376,Gangbyeon Expressway,Arterial Road,Seoul,South Korea,Seocho,8.5,4,70,6561,0,0,1,1,1,0,0,0.0,KRW,0,0.0,Good,LED,Adaptive SCOOT,National,37.612411,126.926107,37.629119,126.952593,4639,423,2006,2022-04-11,2024-09-05,2022-02-22,0,1,0,4,77.1,40.0
RD-SEO-0377,Route 928,Arterial Road,Seoul,South Korea,Dongdaemun,4.2,6,60,9599,0,0,1,1,0,0,0,0.0,KRW,0,0.0,Good,None,None,National,37.58278,127.00985,37.609583,127.012396,12160,1493,1951,2023-04-12,2024-09-14,2024-01-27,0,1,0,2,59.5,385.0
RD-SEO-0378,Route 334,Arterial Road,Seoul,South Korea,Dongdaemun,14.9,4,70,6478,0,0,1,1,0,1,0,0.0,KRW,0,0.0,Poor,Solar LED,None,State/Provincial,37.599269,126.92781,37.58546,126.925676,4666,486,1966,2023-12-09,2024-12-18,2020-04-09,0,0,0,0,78.0,22.5
RD-SEO-0379,Olympic Daero,Toll Road,Seoul,South Korea,Jongno,21.3,6,120,12540,0,0,1,1,0,0,1,5.0,KRW,0,0.0,Good,LED,None,Private,37.608182,126.937149,37.592858,126.956668,15081,1444,1971,2023-01-14,2024-08-28,2021-07-20,1,0,1,0,64.2,331.6
RD-SEO-0380,Nambu Expressway,Ring Road,Seoul,South Korea,Dongdaemun,32.2,6,100,12187,0,0,1,1,1,1,0,0.0,KRW,0,0.0,Poor,None,None,Federal,37.527557,126.913557,37.551941,126.906951,23164,3269,2003,2023-01-18,2025-03-22,2023-04-24,1,0,1,0,72.1,348.2
RD-SEO-0381,Myeongdong Daero,Collector Road,Seoul,South Korea,Myeongdong,4.5,2,50,2397,0,1,1,0,0,1,0,0.0,KRW,0,0.0,Good,Solar LED,Fixed Timer,Municipal,37.533315,126.941316,37.513773,126.916338,3662,384,2011,2023-11-12,2024-11-15,2023-01-20,0,0,0,0,82.7,32.8
RD-SEO-0382,Nambu Expressway,Boulevard,Seoul,South Korea,Itaewon,6.7,4,60,6164,1,1,1,0,1,0,0,0.0,KRW,0,0.0,Good,Halogen,Actuated,Federal,37.584561,127.02984,37.55923,127.01174,5676,844,1953,2022-10-13,2025-03-26,2021-05-16,0,1,0,2,62.9,229.2
RD-SEO-0383,Route 687,Arterial Road,Seoul,South Korea,Seocho,6.6,4,50,6446,1,0,0,0,0,0,0,0.0,KRW,0,0.0,Excellent,Sodium Vapor,Actuated,Municipal,37.563152,127.028341,37.590353,127.024796,13858,1729,1998,2022-01-19,2025-03-21,2021-06-20,0,1,0,7,68.0,73.2
RD-SEO-0384,Gangbyeon Expressway,Local Street,Seoul,South Korea,Jongno,2.1,1,20,676,0,1,1,0,0,1,0,0.0,KRW,0,0.0,Poor,LED,Adaptive SCOOT,State/Provincial,37.544084,127.013449,37.514327,127.015044,744,105,1985,2023-06-24,2024-08-01,2020-10-13,1,1,1,3,58.7,31.6
RD-SEO-0385,Nambu Expressway,Local Street,Seoul,South Korea,Seocho,1.4,2,30,1348,0,1,0,0,0,1,0,0.0,KRW,0,0.0,Good,LED,Semi-Actuated,Municipal,37.531833,127.021294,37.521477,127.03361,3380,270,1983,2022-06-06,2024-06-17,2022-12-24,0,0,0,0,75.0,7.7
RD-SEO-0386,Itaewon Ro,Local Street,Seoul,South Korea,Itaewon,2.5,1,20,571,0,0,1,0,1,1,0,0.0,KRW,0,0.0,Good,Solar LED,Fixed Timer,Municipal,37.531802,127.005078,37.559847,126.977925,410,57,1998,2023-10-23,2024-10-29,2021-10-04,0,0,0,0,65.1,37.6
RD-SEO-0387,Gangbyeon Expressway,Highway/Expressway,Seoul,South Korea,Itaewon,38.8,8,80,15929,1,0,1,1,0,0,1,1.0,KRW,0,0.0,Under Repair,Sodium Vapor,Adaptive SCOOT,Federal,37.568557,126.932862,37.579509,126.923857,33526,3324,1979,2023-02-17,2024-11-02,2021-05-30,1,1,1,6,66.6,230.1
RD-SEO-0388,Nambu Expressway,Arterial Road,Seoul,South Korea,Gangnam,13.6,4,50,6413,1,0,1,0,0,1,0,0.0,KRW,0,0.0,Good,Solar LED,Semi-Actuated,National,37.514246,127.011905,37.530942,127.022462,11075,922,1979,2022-09-27,2025-03-01,2021-03-30,0,1,0,0,62.7,15.7
RD-SEO-0389,Nambu Expressway,Collector Road,Seoul,South Korea,Jongno,5.1,4,60,4648,0,0,1,0,1,1,0,0.0,KRW,0,0.0,Poor,Solar LED,Semi-Actuated,Federal,37.522355,126.995006,37.54855,127.01544,3987,399,2008,2024-01-07,2024-10-03,2020-05-11,0,0,0,0,68.5,31.3
RD-SEO-0390,Olympic Daero,Toll Road,Seoul,South Korea,Itaewon,26.7,8,120,16875,0,0,1,1,1,1,1,20.0,KRW,0,0.0,Excellent,None,Actuated,Municipal,37.615295,126.913936,37.588348,126.940368,12328,1201,1981,2024-01-07,2025-03-26,2022-08-26,1,1,1,1,75.6,258.1
RD-SEO-0391,Jongno Ro,Ring Road,Seoul,South Korea,Jongno,78.2,8,100,15990,0,0,0,1,0,0,0,0.0,KRW,0,0.0,Fair,Sodium Vapor,Actuated,Private,37.637768,127.002908,37.656091,127.00698,11817,1193,1996,2022-04-08,2024-10-02,2021-08-23,1,1,1,0,60.5,449.8
RD-SEO-0392,Itaewon Daero,Ring Road,Seoul,South Korea,Itaewon,73.5,8,120,15875,0,0,1,1,0,1,1,5.0,KRW,0,0.0,Good,Sodium Vapor,Actuated,State/Provincial,37.570796,126.988037,37.56612,126.973336,14054,1683,1986,2022-05-11,2024-09-29,2023-11-29,1,1,1,3,78.3,168.2
RD-SEO-0393,Gangbyeon Expressway,Collector Road,Seoul,South Korea,Dongdaemun,3.3,4,60,4754,0,0,0,1,1,1,0,0.0,KRW,0,0.0,Good,None,Semi-Actuated,Municipal,37.622406,126.934114,37.642919,126.926476,2781,283,1986,2023-06-17,2025-01-27,2022-04-16,0,1,0,8,65.5,38.6
